time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/actor_loss
514,2,1175,292,9.27136503,4.02,0.8410331606864929,0.001,174,0.12551987171173096,-0.5842409133911133,-7.2305378913879395
484,2,1191,296,9.277264180000001,4.02,0.8276646137237549,0.001,190,0.10814450681209564,-0.6274353265762329,-7.650768756866455
455,2,1207,300,9.282058549999999,4.02,0.8145252466201782,0.001,206,0.13278666138648987,-0.6930655837059021,-7.637986660003662
429,2,1223,304,9.278861049999998,4.02,0.8015987873077393,0.001,222,0.08864645659923553,-0.7390979528427124,-7.74516487121582
408,3,1239,308,9.27817861,4.02,0.7888795733451843,0.001,238,0.09639069437980652,-0.7996979355812073,-7.75846004486084
387,3,1255,312,9.28348158,4.02,0.7763308882713318,0.001,254,0.09311573952436447,-0.8563599586486816,-8.053411483764648
369,3,1272,316,9.279511709999998,4.03,0.7632054686546326,0.001,271,0.07397298514842987,-0.9063153266906738,-8.213201522827148
353,3,1289,320,9.27525425,4.04,0.7503141760826111,0.001,288,0.062484316527843475,-0.9701882004737854,-8.539695739746094
339,3,1305,324,9.27138047,4.04,0.7383677363395691,0.001,304,0.04983419552445412,-1.0242003202438354,-8.706794738769531
327,4,1321,328,9.273300950000001,4.04,0.7266168594360352,0.001,320,0.044409092515707016,-1.0716710090637207,-8.845535278320312
315,4,1337,332,9.27489984,4.04,0.7150478959083557,0.001,336,0.04321666806936264,-1.1252522468566895,-9.09763240814209
305,4,1353,336,9.28021778,4.04,0.7036721706390381,0.001,352,0.026653969660401344,-1.1840101480484009,-9.15192699432373
295,4,1369,340,9.27579236,4.04,0.6924770474433899,0.001,368,0.01889774017035961,-1.2319283485412598,-9.320481300354004
286,4,1386,344,9.27474069,4.04,0.6807748675346375,0.001,385,0.014051559381186962,-1.296006441116333,-9.331400871276855
277,5,1402,348,9.274518030000001,4.04,0.6699376702308655,0.001,401,0.027310384437441826,-1.3423330783843994,-9.475432395935059
270,5,1418,352,9.27748606,4.03,0.659280002117157,0.001,417,0.01255485787987709,-1.405682921409607,-9.789438247680664
259,5,1434,356,9.27540525,4.03,0.6487930417060852,0.001,433,0.010050332173705101,-1.452103614807129,-9.798954010009766
252,5,1451,360,9.27046843,4.04,0.6378304362297058,0.001,450,0.01325228437781334,-1.5106550455093384,-9.902339935302734
245,5,1467,364,9.26883519,4.04,0.6276904940605164,0.001,466,0.013183755800127983,-1.5684369802474976,-10.019618034362793
240,6,1483,368,9.26472769,4.04,0.61771160364151,0.001,482,0.018219932913780212,-1.6110222339630127,-9.98784065246582
235,6,1499,372,9.26315572,4.04,0.607887327671051,0.001,498,0.009128672070801258,-1.6758774518966675,-10.112725257873535
229,6,1515,376,9.26939453,4.04,0.5982066988945007,0.001,514,0.012292043305933475,-1.7334908246994019,-10.104838371276855
224,6,1531,380,9.27026872,4.04,0.5886882543563843,0.001,530,0.008479314856231213,-1.7924237251281738,-10.199013710021973
220,7,1547,384,9.270831880000001,4.04,0.5793213248252869,0.001,546,0.009616034105420113,-1.849908471107483,-10.289549827575684
214,7,1563,388,9.268186730000002,4.04,0.5701136589050293,0.001,562,0.01136213168501854,-1.8737953901290894,-10.285542488098145
210,7,1579,392,9.269779920000001,4.04,0.561059832572937,0.001,578,0.011812160722911358,-1.9482890367507935,-10.269500732421875
207,7,1595,396,9.268791730000002,4.04,0.5521517992019653,0.001,594,0.007274933159351349,-1.9995224475860596,-10.294190406799316
203,7,1612,400,9.266031830000001,4.05,0.5428292751312256,0.001,611,0.00930081307888031,-2.052934169769287,-10.355311393737793
199,8,1628,404,9.266808730000001,4.05,0.5342002511024475,0.001,627,0.010235374793410301,-2.1117660999298096,-10.323847770690918
196,8,1645,408,9.26407609,4.06,0.52518630027771,0.001,644,0.008273661136627197,-2.1642887592315674,-10.313862800598145
193,8,1661,412,9.26199221,4.06,0.5168424844741821,0.001,660,0.009072430431842804,-2.231550455093384,-10.418291091918945
189,8,1677,416,9.26091826,4.05,0.5086226463317871,0.001,676,0.005423476919531822,-2.2843780517578125,-10.383914947509766
186,9,1693,420,9.26649557,4.04,0.5005383491516113,0.001,692,0.005983124487102032,-2.324573278427124,-10.423425674438477
184,9,1709,424,9.26655544,4.04,0.4925817847251892,0.001,708,0.005648475140333176,-2.3768093585968018,-10.387008666992188
182,9,1725,428,9.26388168,4.04,0.48476096987724304,0.001,724,0.005002071615308523,-2.436505079269409,-10.3936185836792
179,9,1741,432,9.26112709,4.04,0.4770638346672058,0.001,740,0.006924781948328018,-2.474411725997925,-10.363057136535645
177,9,1757,436,9.25787446,4.04,0.46949025988578796,0.001,756,0.004633476957678795,-2.5523464679718018,-10.364832878112793
175,10,1773,440,9.26019132,4.04,0.4620337188243866,0.001,772,0.005703354254364967,-2.604807138442993,-10.382672309875488
173,10,1789,444,9.2610431,4.03,0.4546968936920166,0.001,788,0.006396548822522163,-2.643411636352539,-10.362896919250488
171,10,1805,448,9.263778760000001,4.03,0.4474828839302063,0.001,804,0.007361358031630516,-2.7075858116149902,-10.338844299316406
168,10,1823,452,9.25959656,4.05,0.4394991397857666,0.001,822,0.006596989464014769,-2.7664616107940674,-10.298369407653809
166,11,1839,456,9.260255560000001,4.05,0.43251335620880127,0.001,838,0.00476052425801754,-2.800732374191284,-10.272074699401855
164,11,1855,460,9.263815080000002,4.04,0.4256446957588196,0.001,854,0.006136770360171795,-2.8798933029174805,-10.323965072631836
163,11,1871,464,9.2673659,4.04,0.41888800263404846,0.001,870,0.003265056759119034,-2.925204277038574,-10.223215103149414
161,11,1887,468,9.26806278,4.04,0.41224294900894165,0.001,886,0.003554443595930934,-2.985994577407837,-10.269536018371582
160,11,1903,472,9.269435899999998,4.04,0.40570154786109924,0.001,902,0.0061730570159852505,-3.0213427543640137,-10.204777717590332
158,12,1919,476,9.270271659999997,4.04,0.39925646781921387,0.001,918,0.0057623316533863544,-3.0715651512145996,-10.216599464416504
157,12,1936,480,9.26790102,4.05,0.3925248980522156,0.001,935,0.006331779062747955,-3.1570682525634766,-10.213658332824707
155,12,1952,484,9.2734886,4.05,0.3862886428833008,0.001,951,0.004264484625309706,-3.1923046112060547,-10.213878631591797
153,12,1968,488,9.275033220000001,4.05,0.3801594078540802,0.001,967,0.0026368629187345505,-3.2385613918304443,-10.190753936767578
152,12,1984,492,9.27224149,4.05,0.3741273880004883,0.001,983,0.004485410638153553,-3.3046138286590576,-10.164414405822754
151,13,2000,496,9.2705466,4.05,0.3681808412075043,0.001,999,0.0025729616172611713,-3.3499534130096436,-10.143143653869629
